Name,Type-MAN
J004625.16+003118.4,1
J004749.74-102617.8,1
J004819.17-011156.9,1
J004829.37-084801.5,2
J004831.58+001153.6,2
J005029.71-010116.6,1
J005048.96-004728.8,1
J005058.07-092922.7,3
J005123.62-001917.2,2
J005155.54-003358.6,1
J005156.36-011552.2,2
J005207.25-092928.4,1
J005336.97+010538.1,1
J005532.45-095626.4,2
J005615.53+000108.9,2
J005619.64-101347.7,1
J005620.07-093629.7,2
J005625.58-011544.9,4
J005641.46-105203.1,3
J005652.99-093509.5,1
J005702.06-005230.6,4
J005719.19-095415.6,1
J005805.36+002647.4,1
J005830.07-011138.7,1
J005901.18+002530.9,1
J010018.10+010226.8,3
J010101.11-002444.4,1
J010101.68+010903.0,2
J010105.99+002754.3,2
J010116.08-085557.6,2
J010118.75+003550.5,2
J010119.19-000319.0,2
J010139.92-001249.5,4
J010154.65-005216.3,2
J010155.77+004932.8,1
J010158.63-095750.6,1
J010207.71+001302.8,2
J010236.52-005007.7,4
J010242.47-005031.3,4
J010252.52-091444.7,1
J010301.54-003151.4,2
J010324.16-105121.1,2
J010324.96+005552.1,2
J010345.46-010238.5,2
J010359.53-005726.5,2
J010456.54+000423.2,4
J010506.04-095708.2,1
J010524.30-094846.2,3
J010534.81-083612.7,2
J010538.60+000241.1,3
J010547.07-002017.4,3
J010550.92-001458.4,1
J010600.12+002325.0,1
J010605.83+005057.8,2
J010620.46+000843.3,2
J010642.70+003953.8,2
J010655.78+003122.8,2
J010730.69+000920.5,2
J010740.56+010253.1,1
J010750.47-005352.9,1
J010758.59-005225.3,1
J010824.87-000841.2,2
J010827.80-092916.8,3
J010833.68-000319.4,1
J010928.73-001603.8,4
J010933.49-104626.6,2
J010958.77-083706.7,1
J011012.66-004746.8,1
J011027.35-001612.3,1
J011036.22-002806.2,1
J011039.78+010400.2,2
J011120.60-000411.9,2
J011130.05+005059.9,3
J011148.82-000105.4,1
J011159.99-005707.1,2
J011204.05+003244.3,2
J011247.42+005254.6,2
J011304.38-004120.1,1
J011341.10+010608.5,3
J011403.08-011057.8,4
J011425.76-000042.5,1
J011505.70-003540.6,2
J011637.14-104828.0,2
J011641.10-083633.3,2
J011654.92-091321.0,2
J011715.81+000304.2,2
J011725.80-003527.7,1
J011802.25-092240.6,2
J011811.66+010210.9,2
J011905.65-011401.7,1
J011926.17-104125.4,4
J011926.37-004437.2,2
J011943.00-101557.4,1
J012003.87-093137.0,1
J012021.17-002124.7,2
J012023.14-000444.3,1
J012024.78-001633.8,2
J012030.80-001950.6,2
J012051.84-100025.2,1
J012057.77-102331.3,2
J012117.16+000909.2,1
J012156.39-002925.4,3
J012234.25-104605.6,1
J012234.38+011513.7,1
J012331.46+000349.2,2
J012346.39-092303.4,1
J012347.59+001554.2,1
J012357.03-094107.8,1
J012411.36+004648.2,2
J012444.32+000600.4,1
J012455.99+001115.1,1
J012512.35-085524.0,2
J012555.04-002943.9,1
J012636.07+002440.4,1
J012703.04+002542.7,3
J012707.09-082617.9,1
J012745.78-095100.2,1
J012747.77+010118.4,1
J012750.82-001346.6,1
J012751.31+010308.6,1
J012812.31-095217.2,1
J012822.10-090319.9,1
J012836.97+000237.6,2
J012927.17+000524.0,2
J013034.29-100500.9,2
J013037.79-100056.4,2
J013058.00-102050.7,1
J013122.69-103919.4,3
J013127.62+010947.1,2
J013132.92+003321.5,4
J013144.38-082613.1,1
J013157.67+001936.2,1
J013201.69+002212.2,1
J013219.57-001628.6,1
J013249.00-090714.8,1
J013253.85-103251.2,2
J013300.48-092721.1,1
J013315.47-093202.4,1
J013319.50-005605.0,1
J013325.10+005557.0,4
J013325.87-102618.7,3
J013327.25-082416.5,4
J013426.53-081701.9,1
J013446.64-100419.7,2
J013447.03+005137.2,2
J013503.70+011324.3,3
J013506.15-011330.3,1
J013553.71-101553.9,4
J013602.10+001015.9,2
J013637.50-100549.3,3
J013639.15+000818.1,3
J013720.55+002322.1,1
J013835.47-082140.1,1
J013842.39-011205.7,2
J013909.72-100444.7,1
J013936.81+003224.1,3
J014017.46-001740.9,1
J014045.39-003347.1,1
J014109.11-005328.9,2
J014116.35-083539.3,1
J014118.71-002454.6,2
J014204.42-011127.5,1
J014211.26-002035.9,2
J014212.33-100717.3,2
J014213.66-001325.9,2
J014228.00+001138.3,3
J014253.90-084629.6,1
J014443.49+002703.5,1
J014444.86-094406.1,3
J014500.36-004854.4,2
J014601.89-002445.8,2
J014612.71-003836.3,1
J014752.00+000658.8,1
J014756.06-083918.9,1
J014822.32-004815.6,1
J014826.73-082342.5,1
J014858.93-004222.4,2
J014909.42-002545.3,2
J014910.83+010829.5,2
J014929.73-080732.2,2
J014953.59-082505.6,1
J015005.44-001048.4,3
J015021.83+010729.7,1
J015041.09-001854.6,2
J015109.83-085802.7,2
J015109.84-002122.4,2
J015152.40+000910.9,3
J015152.78-100050.5,1
J015301.51-010841.5,1
J015323.14-095255.1,1
J015344.93-084051.3,1
J015408.83-000145.8,2
J015420.12-081643.2,3
J015428.42-080049.8,1
J015457.31+000801.7,2
J015515.00-084930.5,2
J015550.84-081341.9,3
J015555.35-085915.1,2
J015622.71+002437.3,2
J015647.59-005807.6,1
J015648.57-010649.5,3
J015650.40-003041.1,1
J015659.99+010316.7,2
J015759.47-003635.0,2
J015917.55+003107.3,2
J015949.34-084958.8,1
J015956.88-005841.7,2
J020007.94+000127.1,2
J020013.58-011210.3,4
J020025.51-075629.3,1
J020106.17+003400.2,1
J020112.13-004626.4,2
J020142.17-000557.5,1
J020148.27+005401.2,1
J020155.82-075606.3,3
J020208.19-082613.3,2
J020214.93-084708.2,1
J020217.28-010740.3,3
J020252.09-004852.7,2
J020324.14-011149.3,2
J020406.19-091608.1,2
J020409.25-084105.9,2
J020417.55-075547.1,2
J020443.75-100606.2,1
J020446.93-010946.4,1
J020536.81-004756.4,2
J020546.32-074735.7,2
J020548.99-010319.4,2
J020615.90-095717.6,1
J020624.46-084840.1,2
J020706.79-002323.7,2
J020801.94-095948.0,1
J020826.33-003229.8,1
J020830.03-005958.2,3
J020848.22-005924.8,1
J020858.86-004729.9,1
J020947.28-090102.5,1
J020957.35-005645.6,1
J021007.80+004238.4,2
J021106.41-003918.2,1F
J021110.23-011243.3,2
J021115.65+000843.1,1
J021200.56-003910.5,1
J021202.91-074034.3,2
J021235.27-082046.0,4
J021242.85-001807.3,3
J021250.24-094245.0,1
J021340.97-083155.8,2
J021428.58-100138.1,2
J021429.98-092156.2,1
J021515.58+005823.7,1
J021521.51-003808.8,2
J021530.07+010329.3,2
J021540.60-000956.7,1
J021653.00-085508.5,4
J021702.64-082052.4,1
J021703.46-084519.0,1
J021716.19+010340.3,1
J021724.76-091348.7,1
J021738.56-011206.8,2
J021822.21+000100.6,1
J021822.55+001223.9,1
J021834.18-091126.0,2
J021839.68-003830.9,3
J021840.39-002019.3,1
J021841.61-002134.6,2
J021842.11+000647.1,2
J021853.46-003145.7,2
J021900.06-000110.4,2
J021923.73+011459.0,2
J021929.41-004640.6,1
J021947.60-080711.0,3
J021954.39-001931.5,1
J022000.20-000452.2,1
J022003.06-000018.8,2
J022008.05-081515.0,1
J022032.97+002803.4,3
J022040.95-010410.9,4
J022048.46-084250.4,1
J022054.03-000612.7,1
J022109.46-002546.7,1
J022115.97-001554.9,3
J022128.67+005150.7,2
J022156.92-084041.4,1
J022203.14-010960.0,1
J022244.46-085222.0,3
J022245.89+002818.6,1
J022246.25-094801.9,1
J022246.95-093848.8,1
J022310.06-005709.0,1
J022332.77-085739.1,3
J022334.28-085111.6,1
J022335.07-085243.4,2
J022341.02+011446.6,1
J022356.52-082958.7,1
J022404.08-081512.2,3
J022414.58+003347.0,2
J022458.85+002805.0,1
J022459.90-094235.7,1
J022507.92-003532.9,3
J022516.89-084137.5,1
J022518.46+000142.7,2
J022521.75+000117.4,2
J022701.76+005700.0,1
J022713.01+011024.9,2
J022728.48+005045.1,1
J022736.78-005250.7,4
J022816.00-075148.9,2
J022825.37+005217.8,3
J022825.85+003202.6,2
J022841.29-004251.6,1
J022848.85-071659.1,3
J022849.10-073437.0,2
J022858.96+005251.9,1
J022915.51-000918.0,3
J022933.67-003237.8,2
J023028.05+010849.8,4
J023049.74-002013.0,2
J023053.85-002440.9,2
J023058.86+010646.2,1
J023101.15-004943.9,1
J023109.30+005703.6,1
J023140.97-011003.6,1
J023238.25-010443.3,3
J023238.45-090839.2,1
J023252.53+000234.8,1
J023307.12+010502.3,2
J023331.08+001024.5,2
J023409.27-000243.0,2
J023516.80-010051.7,1
J023546.90-003252.9,2
J023700.78-071307.5,1
J023702.39+004933.1,2
J023705.36-011118.2,3
J023712.14-075232.8,2
J023721.12-010528.6,3
J023758.82-010911.2,2
J023802.81+005023.0,1
J023813.67-092431.4,1
J023832.82-074104.0,1
J023848.90-071306.4,2
J023903.24+002126.5,2
J023922.48+003425.2,1
J023933.97-004151.7,1
J024030.57+004605.5,1
J024105.65-081717.4,1
J024111.05-090050.8,2
J024124.05-085437.7,1
J024302.93+004627.3,1
J024357.89-004418.8,2
J024414.26-004555.4,2
J024421.83-071643.2,1
J024448.35-074740.5,2
J024511.50+005254.0,2
J024558.53-064900.7,4
J024750.28-002841.5,2
J024753.09-073350.7,2
J024808.57-011344.6,4
J024848.39+000019.7,1
J024906.08-073614.9,3
J024911.91-004849.0,2
J024938.18+004209.4,3
J024959.52+000609.2,2
J025031.25+005747.7,4
J025134.86+004913.8,2
J025205.48-083240.1,1
J025236.86+010231.8,1
J025246.10-083615.7,1
J025351.93-073506.5,2
J025416.75+001504.2,1
J025421.00+011023.0,2
J025459.59+011249.6,2
J025548.35-070019.0,1
J025704.36-004255.7,2
J025800.70+003405.0,1
J025854.96-073154.8,1
J025856.89-074011.5,3
J025901.09+005350.0,1
J025931.50+001942.1,2
J025940.59+005547.6,2
J025942.89+001840.9,2
J030042.10-074316.6,2
J030044.27-074247.0,1
J030045.82-080955.1,3
J030046.82-000156.5,1
J030104.62-082419.2,3
J030242.53-002159.3,2
J030251.13+002625.5,2
J030259.53-001135.4,4
J030304.73+000855.0,2
J030312.08+002659.0,2
J030357.28+001429.9,1
J030402.93-003617.8,2
J030433.96-005404.7,2
J030514.66-003319.5,1
J030617.33-000824.0,1
J030629.05+005958.9,1
J030632.09-000135.8,1
J030648.24-010524.7,1
J030831.76-002742.4,2
J030832.00-002438.2,2
J030905.38+000218.3,2
J031113.57+011438.8,2
J031224.78-001055.6,2
J031248.99+002400.7,2
J031254.81-005212.5,2
J031357.02-001531.2,3
J031446.28+010520.7,1
J031459.27-001952.1,1
J031645.60-005931.0,1
J031818.48-003944.4,1
J031828.28-003823.0,2
J031843.00-004527.9,1
J032028.26+004409.7,1
J032120.71-000548.8,3
J072248.42+412921.4,4
J072401.42+412732.9,1
J072528.48+434332.5,1
J072554.28+430850.0,3
J072557.14+412306.7,2
J072620.85+403928.3,4
J072644.88+423148.1,2
J072656.10+375129.7,1
J072701.62+412426.5,1
J072704.16+415525.0,2
J072735.82+373452.5,1
J072736.50+422634.6,1
J072737.49+395655.5,4
J072741.92+443401.7,3
J072755.60+424055.9,1
J072756.75+423040.5,3
J072802.06+423933.7,2
J072807.83+391313.3,2
J072854.28+374219.6,2
J072855.89+440027.6,1
J072957.42+410352.1,2
J073022.60+422639.0,1
J073050.67+445600.9,3
J073109.69+460318.9,3
J073116.87+423756.2,1
J073128.44+370129.8,2
J073136.00+384201.6,2
J073144.25+430845.6,2
J073151.60+393453.5,1
J073201.33+420829.9,4
J073208.32+435817.4,4
J073216.85+315248.1,2
J073248.21+372103.1,1
J073300.75+392506.3,3
J073308.88+421624.5,1
J073310.65+411412.2,2
J073310.77+400959.3,1
J073346.81+411120.0,1
J073418.50+410056.8,1
J073451.84+392435.9,2
J073503.46+404958.6,1
J073540.68+390437.4,1
J073542.57+303318.5,1
J073547.25+381606.1,1
J073548.43+322203.0,2
J073550.21+471455.6,2
J073555.67+421212.1,1
J073600.87+273926.1,3
J073603.43+312846.2,1
J073623.39+431814.1,2
J073624.96+300222.3,1
J073627.89+433621.7,1
J073636.03+263030.9,1
J073641.50+284114.8,1
J073650.88+331107.4,1
J073658.10+432902.0,4
J073700.40+293408.1,1
J073701.87+284646.1,1
J073710.07+460821.3,2
J073719.17+292932.2,2
J073728.44+321618.7,2
J073735.92+371454.7,1
J073800.11+314641.4,1
J073800.18+441908.9,3
J073827.60+241522.9,2
J073833.78+424034.0,1
J073848.81+384315.7,2
J073849.50+415907.5,4
J073853.14+461847.1,3
J073858.78+282917.3,1
J073907.42+455912.9,1
J073934.50+422631.3,2
J073945.75+223120.8,1
J073957.28+435859.7,1
J074001.41+404615.1,2
J074019.85+330501.7,2
J074043.47+443217.8,1
J074049.56+332203.2,2
J074100.50+234809.9,1
J074105.95+320544.1,1
J074106.08+300805.9,1
J074113.99+422711.3,3
J074119.76+304637.1,2
J074119.82+244106.1,2
J074122.41+444023.3,1
J074122.73+323917.2,1
J074132.99+475215.7,3
J074138.50+440405.3,4
J074145.57+234335.7,1
J074158.60+425937.7,2
J074209.31+461557.0,2
J074214.25+233452.9,1
J074214.28+221439.4,1
J074219.83+333951.6,1
J074220.64+403607.5,1
J074224.66+305345.6,2
J074234.82+425952.2,1
J074236.14+444536.0,3
J074242.20+465438.9,2
J074242.53+331817.2,1
J074251.32+211402.0,2
J074251.39+253019.3,1
J074255.46+393233.1,3
J074258.72+273515.0,2
J074259.53+452902.4,1
J074309.68+412106.0,2
J074310.50+343057.4,2
J074316.96+242749.1,2
J074324.07+233626.0,3
J074326.03+312440.0,1
J074329.53+354832.7,2
J074331.60+252728.5,2
J074340.86+355211.1,1
J074345.11+381713.4,2
J074400.64+311728.8,1
J074401.21+205833.9,1
J074403.35+221706.3,1
J074408.19+435935.6,2
J074432.42+415258.3,2
J074443.71+383911.3,1
J074448.85+423726.7,1
J074454.06+245651.7,1
J074455.67+213816.9,2
J074500.10+461354.0,1
J074504.92+351204.5,2
J074508.41+241835.9,1
J074511.58+362057.4,1
J074528.30+304124.5,2
J074530.83+244533.9,1
J074534.15+335516.8,1
J074535.72+335746.7,3
J074536.39+352833.0,4
J074537.46+361954.4,2
J074538.67+263609.4,3
J074541.49+274946.6,1
J074545.10+221723.8,2
J074546.10+323530.0,4
J074546.39+192045.3,1
J074548.52+474436.3,1
J074556.43+191306.2,1
J074617.75+362946.7,1
J074620.71+292603.7,3
J074627.19+174337.2,2
J074627.44+430045.4,1
J074633.67+170809.7,2
J074635.21+230455.3,3
J074641.46+184405.4,2
J074647.47+351414.5,2
J074654.59+193413.7,3
J074706.34+373507.3,1
J074708.35+171726.6,2
J074718.39+210929.4,3
J074720.73+335007.5,2
J074724.46+390206.6,1
J074739.04+392635.8,1
J074739.25+301331.2,2
J074745.15+244512.9,1
J074756.42+372631.4,3
J074759.67+274318.2,1
J074809.47+300630.5,1F
J074809.86+272223.3,1
J074818.17+375221.7,2
J074818.87+454446.1,3
J074821.73+365648.1,3
J074823.28+320433.5,1
J074828.17+180526.3,2
J074843.47+211545.1,1
J074848.67+335100.9,2
J074853.17+215028.0,1
J074855.42+224901.8,2
J074855.96+350806.5,2
J074900.95+363805.5,1
J074901.67+351554.6,2
J074915.73+151926.6,1
J074915.80+521406.5,1
J074921.64+283426.8,1
J074921.82+175755.8,3
J074934.06+180303.2,1
J074935.79+364720.2,2
J074941.70+255023.2,2
J074944.14+311017.4,1
J074949.07+183300.3,3
J074949.42+345302.1,3
J074952.36+152854.7,2
J074955.84+284012.0,1
J074958.03+214006.6,1
J075004.00+353155.5,1
J075006.37+464345.6,2
J075009.50+264407.8,1
J075011.83+230743.2,2
J075018.62+231041.6,1
J075020.92+185458.8,2
J075023.23+225119.2,2
J075041.50+372805.8,1
J075043.35+353016.7,1
J075044.93+160638.4,1
J075046.03+163253.7,2
J075046.96+173854.6,1
J075056.28+142049.8,1
J075056.59+155446.0,2
J075056.96+412924.2,1
J075103.62+342000.8,3
J075107.79+184724.6,4
J075109.57+291335.6,1
J075110.40+385721.7,2
J075114.00+300242.1,3
J075125.10+173051.2,1
J075128.48+245201.8,4
J075129.76+242330.6,1
J075131.85+434929.7,1
J075133.64+250737.8,1
J075139.25+522315.9,1
J075142.11+513147.1,2
J075143.06+211954.6,2
J075145.14+411535.9,1
J075145.15+310811.5,2
J075151.64+512333.3,2
J075152.50+423513.9,1
J075201.99+204429.7,2
J075221.87+341935.7,1
J075225.92+312510.8,2
J075229.30+204334.6,2
J075232.21+175729.7,1
J075244.20+455657.4,4
J075249.36+332934.2,1
J075310.09+152829.8,2
J075311.32+372514.7,1
J075316.71+304653.0,1
J075321.25+353928.4,1
J075323.35+215920.8,3
J075324.28+530144.2,2
J075329.37+163026.1,3
J075332.50+385751.8,1
J075347.57+230154.9,4
J075351.10+241622.6,1
J075352.57+330436.8,2
J075400.04+193708.3,3
J075400.67+420248.3,2
J075406.04+285638.2,1
J075414.64+205643.7,2
J075417.03+381315.2,1
J075424.60+394529.5,3
J075433.89+452947.2,2
J075435.03+384659.3,1
J075435.64+375728.9,2
J075435.82+454645.1,2
J075437.07+391047.8,1
J075437.95+213611.4,2
J075440.35+251007.1,1
J075440.75+341337.4,2
J075442.68+395139.1,4
J075450.17+134829.4,2
J075456.18+193831.2,2
J075457.82+210129.0,2
J075459.90+413125.6,1
J075500.57+323410.4,1
J075501.99+342528.1,1
J075503.37+154021.8,2
J075507.13+162357.3,3
J075509.44+243520.6,1
J075510.56+115406.0,3
J075511.01+465136.1,3
J075514.19+140332.8,3
J075532.07+192116.5,2
J075532.11+185544.4,2
J075532.14+444810.8,3
J075534.21+382548.7,1
J075535.38+205331.8,2
J075539.60+160158.3,3
J075545.17+191823.5,1
J075547.45+354124.4,1
J075550.99+150734.2,1
J075551.21+194926.7,1
J075551.93+421759.4,1
J075555.11+420756.7,1
J075555.67+214234.2,1
J075558.25+431959.0,2
J075600.59+124807.9,2
J075601.87+302440.6,1
J075602.47+150425.3,2
J075602.54+462910.5,2
J075602.72+414039.8,1
J075603.20+412936.8,2
J075605.58+121355.6,1
J075607.05+383401.0,1
J075614.48+272435.7,1
J075615.47+284756.5,3
J075616.30+350302.9,2
J075616.69+272302.3,1
J075621.76+355442.2,2
J075625.76+370329.7,3
J075626.26+511633.7,1
J075626.91+323232.2,2
J075630.42+410210.5,1
J075631.07+163210.6,3
J075636.27+132739.8,2
J075638.27+322747.3,2
J075640.59+402716.1,1
J075640.61+455039.8,2
J075643.06+505017.8,1
J075644.64+323243.6,1
J075648.71+531256.2,1
J075655.96+161325.5,2
J075708.92+364028.5,2
J075718.69+345905.2,3
J075723.37+135556.5,2
J075725.30+173057.7,2
J075727.17+405417.0,1
J075728.30+511603.0,1
J075735.14+352144.5,1
J075735.64+513820.1,2
J075739.34+140056.9,1
J075754.10+504446.5,3
J075756.71+395936.1,1
J075812.77+215216.8,2
J075812.78+363441.1,2
J075812.78+383207.0,2
J075814.02+111657.0,4
J075814.78+372950.3,1F
J075816.85+180508.7,3
J075828.10+374711.7,2
J075846.99+270515.6,1
J075848.09+262108.4,2
J075850.36+471410.0,2
J075855.52+094306.1,2
J075858.78+261450.3,1
J075904.95+162928.4,1
J075909.98+294651.9,1
J075912.60+133531.3,1
J075921.60+214520.0,1
J075923.10+274148.3,2
J075925.69+305841.7,3
J075926.03+180534.8,1
J075931.60+122815.1,3
J075940.07+301911.4,1
J075940.32+255054.2,2
J075947.02+353111.9,2
J075948.43+213736.3,2
J075949.42+353235.7,3
J075952.54+345218.5,2
J075958.72+441534.5,2
J080007.63+430710.3,3
J080018.78+164557.2,2
J080019.89+213003.0,2
J080023.05+312709.6,3
J080023.08+124942.0,1
J080023.98+375344.4,2
J080024.57+184940.4,2
J080028.00+413938.3,2
J080031.07+094022.0,2
J080038.84+174032.7,1
J080041.97+321727.6,1
J080051.10+300024.2,2
J080052.78+132945.3,4
J080101.35+134952.2,3
J080107.90+435030.6,3
J080131.85+253513.6,1
J080144.89+283501.8,1
J080154.04+475057.9,2
J080205.86+281537.0,2
J080215.00+292342.1,1
J080220.91+260613.0,2
J080222.28+200758.0,2
J080226.80+130901.1,1
J080229.25+141246.3,3
J080231.98+265032.9,2
J080234.64+314320.1,2
J080237.00+433848.4,2
J080239.65+434316.7,4
J080240.89+134807.4,3
J080242.07+205956.2,3
J080246.10+550446.2,2
J080247.46+190138.9,1
J080255.85+222820.6,3
J080257.85+141324.5,1
J080301.56+332927.1,1
J080303.20+181326.9,2
J080309.49+191846.5,1
J080310.05+322528.2,1
J080315.50+404441.7,1
J080319.83+161042.5,2
J080323.01+481618.7,2
J080324.73+152212.9,2
J080326.23+531319.9,1
J080327.35+140618.1,1
J080332.14+251333.9,2
J080334.60+355427.0,2
J080337.67+105042.5,4
J080337.75+142010.3,1
J080340.70+202041.0,2
J080342.40+474713.4,1
J080346.28+391416.3,2
J080347.28+534808.7,2
J080356.04+191909.7,1
J080357.67+551211.7,1
J080358.77+454137.9,1
J080359.79+381643.6,1
J080404.51+153334.6,3
J080406.38+433054.0,2
J080409.11+191950.3,1
J080410.81+342624.0,3
J080414.85+423344.0,3
J080427.17+163329.3,3
J080427.62+293308.7,2
J080427.73+305100.2,2
J080428.28+484433.1,1
J080428.46+105601.9,2
J080430.87+233016.7,1
J080432.46+083702.8,1
J080436.42+155746.4,1
J080438.67+230554.3,1
J080439.39+391744.9,2
J080439.75+543419.5,3
J080446.52+404258.5,2
J080448.03+081254.1,2
J080502.35+521312.5,3
J080512.10+244217.5,2
J080515.50+314356.4,2
J080516.75+202214.3,1
J080518.21+334043.2,2
J080519.30+141030.0,3
J080520.21+164743.3,3
J080524.96+433455.3,1
J080532.07+375101.9,4
J080539.78+094400.1,2
J080543.14+454103.8,1
J080545.57+123921.9,2
J080547.89+251523.8,1
J080548.39+161438.9,1
J080552.67+211352.8,1
J080554.68+140932.4,1
J080556.20+401522.8,3
J080556.67+204514.3,3
J080601.52+190614.7,4
J080604.36+510049.2,1
J080607.11+392032.8,1
J080607.46+171829.6,1
J080616.92+102824.6,2
J080620.46+302751.8,2
J080621.12+093413.0,1
J080623.48+160653.1,4
J080624.94+172503.7,1
J080629.14+200717.9,1
J080632.81+151544.0,1
J080638.14+223931.0,2
J080641.54+451316.8,4
J080643.42+314205.4,1
J080645.14+162860.0,2
J080648.86+244021.5,2
J080653.22+375709.5,2
J080656.10+394439.4,2
J080700.46+510440.3,1
J080701.31+310410.5,3
J080708.64+332718.1,3
J080710.71+224159.2,2
J080711.00+370336.4,2
J080712.93+230110.7,3
J080713.38+342952.2,1
J080717.14+550919.9,3
J080717.62+274707.8,1
J080718.03+310627.8,1
J080724.66+290339.8,1
J080730.75+340041.6,2
J080731.51+441048.5,1
J080731.87+325628.2,1
J080738.67+092039.5,3
J080741.07+245820.7,1
J080743.24+393435.0,1
J080747.09+413105.7,1
J080747.28+295031.2,2
J080747.32+394635.6,2
J080755.81+425735.7,4
J080757.47+061953.8,2
J080757.79+561219.8,1
J080803.22+511242.9,2
J080809.97+162415.6,1
J080813.48+565441.3,2
J080817.67+094510.6,1
J080820.53+393342.2,4
J080822.33+390059.0,4
J080822.44+151633.3,2
J080829.78+383659.9,1
J080831.44+083820.6,1
J080833.63+461012.8,2
J080837.28+431014.1,1
J080840.32+373145.0,2
J080844.63+183352.0,3
J080844.64+204306.6,1
J080847.75+210322.5,3
J080848.52+263446.6,3
J080852.89+174343.5,2
J080854.96+390533.7,1
J080855.22+425939.2,1
J080857.56+270900.3,1
J080859.42+322520.1,1
J080900.05+051431.6,2
J080905.41+074818.1,3
J080908.59+253921.3,2
J080908.71+294044.6,1
J080908.72+051305.1,1
J080910.23+554506.0,1
J080917.21+353543.9,2
J080918.46+223512.4,1
J080919.01+265644.8,2
J080920.46+371047.8,1
J080926.10+093403.8,4
J080928.69+095441.4,2
J080929.57+222544.3,1
